iteration,approach,nPoints,nThreads,time,pi,error
1,1,1000000,1,0.038007,3.140408,0.001185
2,1,1000000,1,0.036099,3.139540,0.002053
3,1,1000000,1,0.037231,3.141160,0.000433
1,1,10000000,1,0.342377,3.141031,0.000561
2,1,10000000,1,0.362860,3.140979,0.000614
3,1,10000000,1,0.369877,3.141563,0.000029
1,1,100000000,1,3.580170,3.141578,0.000015
2,1,100000000,1,3.585932,3.141620,0.000028
3,1,100000000,1,3.620658,3.141540,0.000053
1,2,1000000,1,0.041239,3.141456,0.000137
1,3,1000000,1,0.044424,3.141456,0.000137
2,2,1000000,1,0.037679,3.141456,0.000137
2,3,1000000,1,0.043366,3.141456,0.000137
3,2,1000000,1,0.037437,3.141036,0.000557
3,3,1000000,1,0.046098,3.141036,0.000557
1,2,1000000,2,0.030419,3.142240,0.000647
1,3,1000000,2,0.072916,3.142240,0.000647
2,2,1000000,2,0.029169,3.142240,0.000647
2,3,1000000,2,0.070937,3.142240,0.000647
3,2,1000000,2,0.030215,3.142240,0.000647
3,3,1000000,2,0.073510,3.142240,0.000647
1,2,1000000,4,0.029776,3.139152,0.002441
1,3,1000000,4,0.087448,3.139152,0.002441
2,2,1000000,4,0.029344,3.139152,0.002441
2,3,1000000,4,0.087489,3.139152,0.002441
3,2,1000000,4,0.029970,3.139152,0.002441
3,3,1000000,4,0.087852,3.139152,0.002441
1,2,1000000,8,0.018460,3.142332,0.000739
1,3,1000000,8,0.096706,3.142332,0.000739
2,2,1000000,8,0.017023,3.142332,0.000739
2,3,1000000,8,0.091370,3.142332,0.000739
3,2,1000000,8,0.017100,3.142332,0.000739
3,3,1000000,8,0.093857,3.142332,0.000739
1,2,1000000,16,0.015150,3.142036,0.000443
1,3,1000000,16,0.086647,3.142036,0.000443
2,2,1000000,16,0.008617,3.142036,0.000443
2,3,1000000,16,0.093299,3.142036,0.000443
3,2,1000000,16,0.009062,3.142036,0.000443
3,3,1000000,16,0.080400,3.142036,0.000443
1,2,1000000,32,0.011271,3.141960,0.000367
1,3,1000000,32,0.077674,3.141960,0.000367
2,2,1000000,32,0.012866,3.141960,0.000367
2,3,1000000,32,0.079771,3.141960,0.000367
3,2,1000000,32,0.010169,3.141960,0.000367
3,3,1000000,32,0.083499,3.141960,0.000367
1,2,1000000,64,0.021743,3.139892,0.001701
1,3,1000000,64,0.078792,3.139892,0.001701
2,2,1000000,64,0.015537,3.139892,0.001701
2,3,1000000,64,0.078185,3.139892,0.001701
3,2,1000000,64,0.015291,3.139892,0.001701
3,3,1000000,64,0.074116,3.139892,0.001701
1,2,1000000,100,0.037274,3.140760,0.000833
1,3,1000000,100,0.078474,3.140760,0.000833
2,2,1000000,100,0.019868,3.141656,0.000063
2,3,1000000,100,0.075934,3.141656,0.000063
3,2,1000000,100,0.034204,3.141656,0.000063
3,3,1000000,100,0.076574,3.141656,0.000063
1,2,1000000,200,0.041062,3.142652,0.001059
1,3,1000000,200,0.077447,3.142652,0.001059
2,2,1000000,200,0.052082,3.142652,0.001059
2,3,1000000,200,0.082756,3.142652,0.001059
3,2,1000000,200,0.043454,3.142652,0.001059
3,3,1000000,200,0.081522,3.142652,0.001059
1,2,1000000,500,0.092615,3.140040,0.001553
1,3,1000000,500,0.107191,3.140040,0.001553
2,2,1000000,500,0.070935,3.140040,0.001553
2,3,1000000,500,0.094895,3.140040,0.001553
3,2,1000000,500,0.059629,3.142132,0.000539
3,3,1000000,500,0.090329,3.142132,0.000539
1,2,1000000,1000,0.139803,3.139736,0.001857
1,3,1000000,1000,0.159282,3.139736,0.001857
2,2,1000000,1000,0.131950,3.139736,0.001857
2,3,1000000,1000,0.136076,3.139736,0.001857
3,2,1000000,1000,0.122396,3.139736,0.001857
3,3,1000000,1000,0.113203,3.139736,0.001857
1,2,10000000,1,0.374848,3.141508,0.000085
1,3,10000000,1,0.463605,3.141850,0.000257
2,2,10000000,1,0.381746,3.141850,0.000257
2,3,10000000,1,0.464153,3.140487,0.001106
3,2,10000000,1,0.378083,3.140487,0.001106
3,3,10000000,1,0.431659,3.142159,0.000566
1,2,10000000,2,0.302137,3.141744,0.000152
1,3,10000000,2,0.703743,3.141744,0.000152
2,2,10000000,2,0.285746,3.142190,0.000597
2,3,10000000,2,0.702998,3.142190,0.000597
3,2,10000000,2,0.287294,3.142232,0.000640
3,3,10000000,2,0.720086,3.142232,0.000640
1,2,10000000,4,0.277619,3.141864,0.000271
1,3,10000000,4,0.901374,3.141874,0.000281
2,2,10000000,4,0.280412,3.141873,0.000280
2,3,10000000,4,0.918422,3.141873,0.000280
3,2,10000000,4,0.274451,3.141053,0.000539
3,3,10000000,4,0.912472,3.141053,0.000539
1,2,10000000,8,0.161480,3.141005,0.000588
1,3,10000000,8,0.936276,3.141005,0.000588
2,2,10000000,8,0.151275,3.140521,0.001072
2,3,10000000,8,0.926123,3.140521,0.001072
3,2,10000000,8,0.156717,3.141623,0.000031
3,3,10000000,8,0.943615,3.141623,0.000031
1,2,10000000,16,0.080490,3.141301,0.000291
1,3,10000000,16,0.770931,3.141301,0.000291
2,2,10000000,16,0.078501,3.141272,0.000321
2,3,10000000,16,0.780183,3.141272,0.000321
3,2,10000000,16,0.080567,3.142454,0.000861
3,3,10000000,16,0.781043,3.142454,0.000861
1,2,10000000,32,0.062368,3.142240,0.000648
1,3,10000000,32,0.741047,3.142240,0.000648
2,2,10000000,32,0.063760,3.141716,0.000123
2,3,10000000,32,0.722706,3.141716,0.000123
3,2,10000000,32,0.059836,3.141716,0.000123
3,3,10000000,32,0.722842,3.141594,0.000001
1,2,10000000,64,0.055290,3.141704,0.000111
1,3,10000000,64,0.696108,3.141704,0.000111
2,2,10000000,64,0.054517,3.141801,0.000208
2,3,10000000,64,0.690222,3.141801,0.000208
3,2,10000000,64,0.056124,3.141190,0.000403
3,3,10000000,64,0.694923,3.141190,0.000403
1,2,10000000,100,0.048932,3.140844,0.000749
1,3,10000000,100,0.723475,3.140844,0.000749
2,2,10000000,100,0.053425,3.140844,0.000749
2,3,10000000,100,0.694238,3.140844,0.000749
3,2,10000000,100,0.051698,3.140538,0.001054
3,3,10000000,100,0.696846,3.140538,0.001054
1,2,10000000,200,0.060379,3.140660,0.000933
1,3,10000000,200,0.707645,3.140660,0.000933
2,2,10000000,200,0.055490,3.140852,0.000741
2,3,10000000,200,0.696777,3.140852,0.000741
3,2,10000000,200,0.067046,3.140852,0.000741
3,3,10000000,200,0.682233,3.140852,0.000741
1,2,10000000,500,0.081394,3.141792,0.000199
1,3,10000000,500,0.744577,3.141792,0.000199
2,2,10000000,500,0.133197,3.141368,0.000224
2,3,10000000,500,0.749774,3.141368,0.000224
3,2,10000000,500,0.078722,3.140331,0.001262
3,3,10000000,500,0.725796,3.140331,0.001262
1,2,10000000,1000,0.185383,3.141873,0.000281
1,3,10000000,1000,0.692271,3.141873,0.000281
2,2,10000000,1000,0.107626,3.141873,0.000281
2,3,10000000,1000,0.793751,3.142314,0.000721
3,2,10000000,1000,0.111387,3.142314,0.000721
3,3,10000000,1000,0.729611,3.142314,0.000721
1,2,100000000,1,3.719848,3.141654,0.000062
1,3,100000000,1,4.499709,3.141698,0.000106
2,2,100000000,1,3.785112,3.141673,0.000081
2,3,100000000,1,4.406228,3.141470,0.000123
3,2,100000000,1,3.650192,3.141551,0.000042
3,3,100000000,1,4.295768,3.141668,0.000076
1,2,100000000,2,2.818062,3.141523,0.000070
1,3,100000000,2,7.178726,3.141638,0.000046
2,2,100000000,2,2.908014,3.141779,0.000186
2,3,100000000,2,7.210767,3.141260,0.000332
3,2,100000000,2,2.848551,3.141633,0.000040
3,3,100000000,2,7.294951,3.141251,0.000341
1,2,100000000,4,2.588427,3.141815,0.000223
1,3,100000000,4,9.042109,3.141894,0.000302
2,2,100000000,4,2.703273,3.141449,0.000144
2,3,100000000,4,9.051783,3.141614,0.000021
3,2,100000000,4,2.688907,3.141431,0.000162
3,3,100000000,4,8.788501,3.141594,0.000001
1,2,100000000,8,1.518265,3.141703,0.000110
1,3,100000000,8,9.241246,3.141558,0.000035
2,2,100000000,8,1.559750,3.141499,0.000093
2,3,100000000,8,9.249863,3.141861,0.000269
3,2,100000000,8,1.540450,3.141683,0.000090
3,3,100000000,8,9.023307,3.141758,0.000165
1,2,100000000,16,0.783826,3.141718,0.000125
1,3,100000000,16,7.376386,3.141541,0.000052
2,2,100000000,16,0.792949,3.141527,0.000065
2,3,100000000,16,7.422094,3.141324,0.000269
3,2,100000000,16,0.814682,3.141709,0.000116
3,3,100000000,16,7.354905,3.141334,0.000259
1,2,100000000,32,0.494500,3.141443,0.000150
1,3,100000000,32,7.043876,3.141443,0.000150
2,2,100000000,32,0.549131,3.141368,0.000225
2,3,100000000,32,7.176897,3.141469,0.000123
3,2,100000000,32,0.484561,3.141565,0.000028
3,3,100000000,32,7.141897,3.141486,0.000107
1,2,100000000,64,0.450955,3.141597,0.000004
1,3,100000000,64,6.961635,3.141597,0.000004
2,2,100000000,64,0.400598,3.141711,0.000118
2,3,100000000,64,6.979884,3.141711,0.000118
3,2,100000000,64,0.449484,3.141453,0.000140
3,3,100000000,64,7.055397,3.141835,0.000242
1,2,100000000,100,0.413422,3.141722,0.000129
1,3,100000000,100,7.191551,3.141722,0.000129
2,2,100000000,100,0.434206,3.141433,0.000160
2,3,100000000,100,7.194207,3.141643,0.000051
3,2,100000000,100,0.406964,3.141642,0.000049
3,3,100000000,100,7.045277,3.141642,0.000049
1,2,100000000,200,0.379370,3.141777,0.000184
1,3,100000000,200,7.128347,3.141777,0.000184
2,2,100000000,200,0.414244,3.141648,0.000055
2,3,100000000,200,7.002268,3.141648,0.000055
3,2,100000000,200,0.412343,3.141599,0.000006
3,3,100000000,200,7.020061,3.141599,0.000006
1,2,100000000,500,0.417235,3.142047,0.000454
1,3,100000000,500,7.035451,3.142047,0.000454
2,2,100000000,500,0.430652,3.141805,0.000212
2,3,100000000,500,6.948193,3.141609,0.000016
3,2,100000000,500,0.424689,3.141645,0.000052
3,3,100000000,500,6.952402,3.141645,0.000052
1,2,100000000,1000,0.450065,3.141750,0.000157
1,3,100000000,1000,7.233888,3.141596,0.000003
2,2,100000000,1000,0.475439,3.141511,0.000082
2,3,100000000,1000,7.056665,3.141511,0.000082
3,2,100000000,1000,0.455015,3.141468,0.000124
3,3,100000000,1000,7.039263,3.141468,0.000124
1,4,1000000,1,0.042674,3.141124,0.000469
2,4,1000000,1,0.038360,3.141124,0.000469
3,4,1000000,1,0.042291,3.141124,0.000469
1,4,1000000,2,0.047756,3.137756,0.003837
2,4,1000000,2,0.046972,3.137756,0.003837
3,4,1000000,2,0.046308,3.137756,0.003837
1,4,1000000,4,0.023974,3.140320,0.001273
2,4,1000000,4,0.024506,3.140320,0.001273
3,4,1000000,4,0.024406,3.140320,0.001273
1,4,1000000,8,0.015177,3.140964,0.000629
2,4,1000000,8,0.015465,3.140964,0.000629
3,4,1000000,8,0.015020,3.140964,0.000629
1,4,1000000,16,0.011483,3.140192,0.001401
2,4,1000000,16,0.011806,3.140192,0.001401
3,4,1000000,16,0.012855,3.140192,0.001401
1,4,1000000,32,0.012085,3.126652,0.014941
2,4,1000000,32,0.013382,3.126652,0.014941
3,4,1000000,32,0.012669,3.126652,0.014941
1,4,1000000,64,0.024293,3.133380,0.008213
2,4,1000000,64,0.019002,3.133380,0.008213
3,4,1000000,64,0.015158,3.133380,0.008213
1,4,1000000,100,0.029081,3.071872,0.069721
2,4,1000000,100,0.030973,3.071872,0.069721
3,4,1000000,100,0.032260,3.071872,0.069721
1,4,1000000,200,0.058755,2.966344,0.175249
2,4,1000000,200,0.049203,2.966344,0.175249
3,4,1000000,200,0.053074,2.966344,0.175249
1,4,1000000,500,0.133271,2.909008,0.232585
2,4,1000000,500,0.118239,2.909008,0.232585
3,4,1000000,500,0.100132,2.899328,0.242265
1,4,1000000,1000,0.177574,2.420204,0.721389
2,4,1000000,1000,0.159621,2.420204,0.721389
3,4,1000000,1000,0.137405,2.420204,0.721389
1,4,10000000,1,0.393528,3.142143,0.000551
2,4,10000000,1,0.415427,3.141617,0.000024
3,4,10000000,1,0.392461,3.141617,0.000024
1,4,10000000,2,0.457617,3.142008,0.000415
2,4,10000000,2,0.480431,3.142405,0.000812
3,4,10000000,2,0.459141,3.142405,0.000812
1,4,10000000,4,0.242042,3.141260,0.000333
2,4,10000000,4,0.249930,3.141260,0.000333
3,4,10000000,4,0.243917,3.141260,0.000333
1,4,10000000,8,0.131608,3.140823,0.000769
2,4,10000000,8,0.133054,3.140823,0.000769
3,4,10000000,8,0.140789,3.140823,0.000769
1,4,10000000,16,0.082745,3.140691,0.000901
2,4,10000000,16,0.084930,3.140691,0.000901
3,4,10000000,16,0.084334,3.140691,0.000901
1,4,10000000,32,0.072298,3.139876,0.001716
2,4,10000000,32,0.063623,3.139876,0.001716
3,4,10000000,32,0.060752,3.139876,0.001716
1,4,10000000,64,0.065414,3.139305,0.002287
2,4,10000000,64,0.066927,3.139305,0.002287
3,4,10000000,64,0.053677,3.137115,0.004478
1,4,10000000,100,0.058689,3.137582,0.004011
2,4,10000000,100,0.060972,3.137582,0.004011
3,4,10000000,100,0.052105,3.137582,0.004011
1,4,10000000,200,0.072218,3.136704,0.004889
2,4,10000000,200,0.065654,3.136704,0.004889
3,4,10000000,200,0.062320,3.136704,0.004889
1,4,10000000,500,0.087377,3.111124,0.030469
2,4,10000000,500,0.100173,3.111124,0.030469
3,4,10000000,500,0.086093,3.111124,0.030469
1,4,10000000,1000,0.183357,3.065787,0.075806
2,4,10000000,1000,0.178076,3.065787,0.075806
3,4,10000000,1000,0.138200,3.063357,0.078236
1,4,100000000,1,3.989899,3.141570,0.000022
2,4,100000000,1,3.959175,3.141755,0.000163
3,4,100000000,1,3.906760,3.141862,0.000269
1,4,100000000,2,4.307571,3.141573,0.000020
2,4,100000000,2,4.326681,3.141507,0.000085
3,4,100000000,2,4.376829,3.141399,0.000194
1,4,100000000,4,2.386556,3.141550,0.000043
2,4,100000000,4,2.376483,3.141545,0.000048
3,4,100000000,4,2.406798,3.141703,0.000111
1,4,100000000,8,1.322362,3.141659,0.000066
2,4,100000000,8,1.324188,3.141746,0.000154
3,4,100000000,8,1.339544,3.141335,0.000257
1,4,100000000,16,0.862373,3.141262,0.000331
2,4,100000000,16,0.840614,3.141269,0.000324
3,4,100000000,16,0.863483,3.141269,0.000324
1,4,100000000,32,0.516810,3.141407,0.000185
2,4,100000000,32,0.543099,3.141586,0.000007
3,4,100000000,32,0.512493,3.141586,0.000007
